_id,key,conf,team,year,style,posFreqs,doc_count,posClass,code,posConfidences,adj_rtg_margin_rank,def_adj_rtg_rank,off_adj_rtg_rank,adj_prod_margin_rank,def_adj_prod_rank,off_adj_prod_rank,adj_rapm_margin_rank,def_adj_rapm_rank,off_adj_rapm_rank,adj_rapm_prod_margin_rank,def_adj_rapm_prod_rank,off_adj_rapm_prod_rank,total_off_2p_attempts.value,total_off_3p_attempts.value,total_off_2prim_attempts.value,total_off_2pmid_attempts.value,off_adj_opp.value,off_poss.value,def_adj_opp.value,duration_mins.value,off_2p.value,off_2p_ast.value,off_3p.value,off_3p_ast.value,off_2prim.value,off_2prim_ast.value,off_2pmid.value,off_2pmid_ast.value,off_ft.value,off_ftr.value,off_2primr.value,off_2pmidr.value,off_3pr.value,off_scramble_2p.value,off_scramble_2p_ast.value,off_scramble_3p.value,off_scramble_3p_ast.value,off_scramble_2prim.value,off_scramble_2prim_ast.value,off_scramble_2pmid.value,off_scramble_2pmid_ast.value,off_scramble_ft.value,off_scramble_ftr.value,off_scramble_2primr.value,off_scramble_2pmidr.value,off_scramble_3pr.value,off_scramble_assist.value,off_trans_2p.value,off_trans_2p_ast.value,off_trans_3p.value,off_trans_3p_ast.value,off_trans_2prim.value,off_trans_2prim_ast.value,off_trans_2pmid.value,off_trans_2pmid_ast.value,off_trans_ft.value,off_trans_ftr.value,off_trans_2primr.value,off_trans_2pmidr.value,off_trans_3pr.value,off_trans_assist.value,off_ast_rim.value,off_ast_mid.value,off_ast_3p.value,off_efg.value,off_scramble_efg.value,off_trans_efg.value,off_team_poss.value,off_assist.value,off_to.value,off_orb.value,off_usage.value,def_team_poss.value,def_orb.value,def_ftr.value,def_to.value,def_2prim.value,off_team_poss_pct.value,def_team_poss_pct.value,off_rtg.value,off_adj_rtg.value,off_adj_prod.value,def_rtg.value,def_rtg.old_value,def_rtg.override,def_adj_rtg.value,def_adj_rtg.old_value,def_adj_rtg.override,def_adj_prod.value,def_adj_prod.old_value,def_adj_prod.override,roster.ncaa_id,roster.number,roster.height,roster.year_class,roster.pos,roster.origin,off_adj_rapm.value,off_adj_rapm.old_value,def_adj_rapm.value,def_adj_rapm.override,def_adj_rapm.old_value,off_adj_rapm_prod.value,def_adj_rapm_prod.value,def_adj_rapm_prod.old_value,def_adj_rapm_prod.override,tier,gender
3138196_Men_2018_all,"Johnson, Cameron",Atlantic Coast Conference,North Carolina,2018,"[[0, 1.1091, 0.1228, 0.034], [1, 0.9385, 0.0761, 0.0211], [2, 1.4674, 0.232, 0.0643], [3, 1.3946, 0.0105, 0.0029], [4, 0.8768, 0.1068, 0.0296], [5, 1.1556, 0.0327, 0.0091], [6, 1.3649, 0.0513, 0.0142], [7, 1.2003, 0.0385, 0.0107], [9, 0.6852, 0.0254, 0.0071], [13, 1.1531, 0.0892, 0.0247], [14, 1.2778, 0.2146, 0.0595]]","[0, 0.0615, 0.8332, 0.1053, 0]",330,WG,CaJohnson,"[0.0371, 0.4198, 0.4281, 0.1151, 0]",3,74,2,3,30,3,1,11,3,1,11,4,135,133,64,71,112.4434,282.1488,95.71,669.0833,0.5704,0,0.4962,0.9394,0.6875,0.5,0.4648,0.5758,0.8148,0.2015,0.2388,0.2649,0.4963,0.5714,0,0.4,1.0,0.5833,0.0,0.5556,0.6,0.6667,0.0968,0.3871,0.2903,0.3226,0.4375,0.6389,0,0.4545,0.8667,0.7826,0.6111,0.3846,0.8,0.6429,0.2029,0.3333,0.1884,0.4783,0.4474,0.4746,0.2373,0.2881,0.6567,0.5806,0.6594,1235,0.1532,0.1205,0.06,0.2182,1225,0.137,0.0177,0.0196,0.0069,0.754,0.7502,134.8835,9.0325,6.8102,96.2771,95.0038,Luck adjusted,-2.9991,-3.2353,Luck adjusted,-2.2498,-2.427,Luck adjusted,3138196,13,6-8,Sr,G,"Moon Township, PA",8.7569,8.7569,-4.3904,Adjusted from Def 3P%,-4.6449,6.6255,-3.2935,-3.4844,Adjusted from Def 3P%,High,Men
4395628_Men_2018_all,"Williamson, Zion",Atlantic Coast Conference,Duke,2018,"[[0, 1.0521, 0.1918, 0.064], [1, 0.9034, 0.0561, 0.0187], [2, 1.0407, 0.06, 0.02], [3, 0.9232, 0.0182, 0.0061], [4, 0.8534, 0.032, 0.0107], [5, 1.1259, 0.0326, 0.0109], [6, 1.453, 0.1453, 0.0485], [7, 1.0592, 0.0286, 0.0096], [8, 1.4505, 0.0324, 0.0108], [9, 0.9487, 0.059, 0.0197], [10, 0.8847, 0.0186, 0.0062], [11, 1.0606, 0.0111, 0.0037], [12, 1.2089, 0.0105, 0.0035], [13, 1.4756, 0.1405, 0.0469], [14, 1.4522, 0.1631, 0.0544]]","[0, 0.0011, 0.2847, 0.6507, 0.0635]",459,WF,ZiWilliamson,"[0.0006, 0.0299, 0.5121, 0.3352, 0.1222]",1,11,1,1,8,2,2,29,2,9,41,10,364,71,313,51,110.9271,548.0073,97.3158,988.47,0.7473,0,0.338,0.8333,0.7923,0.4677,0.4706,0.3333,0.6404,0.4667,0.7195,0.1172,0.1632,0.7949,0,0.0,0.0,0.8,0.0667,0.6667,0.0,0.6786,0.3415,0.9146,0.0366,0.0488,0.0323,0.8333,0,0.375,1.0,0.8387,0.5,0.75,0.3333,0.6444,0.6081,0.8378,0.0541,0.1081,0.4138,0.5,0.0588,0.4412,0.708,0.7561,0.8041,1795,0.1339,0.1423,0.1305,0.2891,1796,0.1812,0.0265,0.039,0.0581,0.6693,0.6677,133.7641,10.2009,6.8273,88.2977,85.9489,Luck adjusted,-4.2555,-4.6972,Luck adjusted,-2.8412,-3.1361,Luck adjusted,4395628,01,6-7,Fr,F,"Salisbury, NC",9.0187,9.0187,-3.823,Adjusted from Def 3P%,-4.3144,6.0519,-2.5525,-2.8805,Adjusted from Def 3P%,High,Men
3906665_Men_2018_all,"Clarke, Brandon",West Coast Conference,Gonzaga,2018,"[[2, 0.4111, 0.0026, 0.0007], [5, 1.236, 0.052, 0.0142], [7, 1.2097, 0.0025, 0.0007], [8, 1.4865, 0.2002, 0.0546], [9, 1.054, 0.3101, 0.0846], [10, 1.0598, 0.0866, 0.0236], [11, 0.8633, 0.0232, 0.0063], [12, 1.2626, 0.0261, 0.0071], [13, 1.5678, 0.1286, 0.0351], [14, 1.3757, 0.1682, 0.0459]]","[0, 0, 0, 0, 1]",473,C,BrClarke,"[0, 0, 0.0001, 0.0018, 0.998]",2,3,3,2,2,6,3,7,8,8,12,14,349,15,235,114,107.3743,440.2095,101.684,1029.8733,0.7077,0,0.2667,1.0,0.7957,0.5615,0.5263,0.4333,0.6867,0.4121,0.6456,0.3132,0.0412,0.807,0,0.0,0.0,0.8039,0.0244,0.8333,0.2,0.7308,0.4561,0.8947,0.1053,0.0,0.2174,0.7213,0,0.0,0.0,0.8205,0.7188,0.5455,0.4167,0.7143,0.6774,0.629,0.3548,0.0161,0.3864,0.5441,0.0735,0.3824,0.6951,0.807,0.7097,1820,0.116,0.1181,0.1418,0.238,1814,0.1902,0.0297,0.0221,0.1086,0.7339,0.7303,138.188,8.4631,6.2108,83.7621,80.8549,Luck adjusted,-4.5872,-5.152,Luck adjusted,-3.3499,-3.7624,Luck adjusted,3906665,15,6-8,Jr,F,"Vancouver, BC",7.4185,7.4185,-4.5028,Adjusted from Def 3P%,-5.0848,5.4583,-3.2883,-3.7133,Adjusted from Def 3P%,High,Men
4065732_Men_2018_all,"Hunter, De'Andre",Atlantic Coast Conference,Virginia,2018,"[[0, 1.0143, 0.3145, 0.0966], [1, 1.1357, 0.1359, 0.0417], [2, 1.2038, 0.1484, 0.0456], [3, 1.0907, 0.0042, 0.0013], [4, 0.8637, 0.1351, 0.0415], [5, 1.1535, 0.0139, 0.0043], [6, 1.3936, 0.0727, 0.0223], [7, 1.1846, 0.0489, 0.015], [9, 0.6681, 0.0045, 0.0014], [13, 1.599, 0.06, 0.0184], [14, 1.4022, 0.0619, 0.019]]","[0, 0.0125, 0.5598, 0.4277, 0]",529,WG,DeHunter,"[0.008, 0.1683, 0.5918, 0.2298, 0.0021]",8,170,7,9,86,8,4,78,5,4,40,3,288,105,137,151,110.0621,456.9204,97.3333,1234.7183,0.5521,0,0.4381,0.9783,0.6934,0.3368,0.4238,0.3125,0.7834,0.3995,0.3486,0.3842,0.2672,0.7391,0,1.0,1.0,0.8421,0.0625,0.25,0.0,0.8333,0.96,0.76,0.16,0.08,0.2105,0.7143,0,0.5,1.0,0.8,0.5833,0.5,0.3333,0.7143,0.4828,0.5172,0.2069,0.2759,0.4737,0.3333,0.0667,0.5867,0.5802,0.8,0.7241,1847,0.1246,0.1138,0.0568,0.2404,1821,0.1342,0.0292,0.0121,0.0243,0.7999,0.7907,126.5074,7.3345,5.8669,97.7627,93.3198,Luck adjusted,-2.3311,-3.1731,Luck adjusted,-1.8432,-2.509,Luck adjusted,4065732,12,6-7,So,G,"Philadelphia, PA",8.5527,8.5527,-3.2294,Adjusted from Def 3P%,-3.9779,6.9256,-2.5535,-3.1453,Adjusted from Def 3P%,High,Men
4066382_Men_2018_all,"Winston, Cassius",Big Ten Conference,Michigan St.,2018,"[[0, 0.9838, 0.2415, 0.1029], [1, 1.113, 0.1058, 0.0451], [2, 1.0303, 0.0838, 0.0357], [3, 0.9536, 0.0518, 0.022], [4, 0.7825, 0.0604, 0.0257], [5, 1.1804, 0.0432, 0.0184], [6, 1.4544, 0.0278, 0.0118], [7, 1.1288, 0.1528, 0.0651], [9, 0.6656, 0.0292, 0.0124], [13, 1.1371, 0.041, 0.0175], [14, 1.2293, 0.1628, 0.0693]]","[1, 0, 0, 0, 0]",734,PG,CaWinston,"[0.9839, 0.0161, 0, 0, 0]",5,262,4,4,120,1,5,182,1,2,97,1,317,211,163,154,111.0955,622.1472,96.3554,1308.18,0.5016,0,0.3981,0.631,0.5583,0.1978,0.4416,0.2206,0.8402,0.3674,0.3087,0.2917,0.3996,0.2727,0,0.4483,0.9231,0.1667,0.0,0.4,1.0,0.6667,0.15,0.15,0.125,0.725,0.375,0.525,0,0.4821,0.5556,0.549,0.3214,0.4828,0.1429,0.8235,0.25,0.375,0.2132,0.4118,1.6087,0.5395,0.0997,0.3574,0.5398,0.5625,0.6066,2198,0.4376,0.1832,0.0124,0.3021,2198,0.0799,0.0239,0.0182,0.0032,0.8373,0.8342,122.5138,8.4258,7.0552,100.9638,99.4893,Luck adjusted,-1.9024,-2.1793,Luck adjusted,-1.5869,-1.8178,Luck adjusted,4066382,5,6-0,Jr,G,"Detroit, MI",9.1888,9.1888,-2.3876,Adjusted from Def 3P%,-2.741,7.7491,-1.9917,-2.2864,Adjusted from Def 3P%,High,Men
4066649_Men_2018_all,"Norvell Jr., Zach",West Coast Conference,Gonzaga,2018,"[[0, 1.1715, 0.1309, 0.0376], [1, 1.0621, 0.0874, 0.0251], [2, 1.1195, 0.1985, 0.0571], [3, 0.9878, 0.0842, 0.0242], [4, 0.9067, 0.0317, 0.0091], [5, 1.23, 0.0496, 0.0143], [6, 1.4573, 0.0459, 0.0132], [7, 1.336, 0.0781, 0.0225], [9, 0.9453, 0.0167, 0.0048], [13, 1.3896, 0.0465, 0.0134], [14, 1.0556, 0.2305, 0.0662]]","[0.0328, 0.8002, 0.167, 0, 0]",519,CG,ZaNorvell,"[0.1951, 0.7315, 0.0669, 0.0065, 0]",41,98,53,28,46,44,6,13,11,6,8,13,148,254,107,41,107.5434,425.444,101.6711,1108.0733,0.5405,0,0.374,0.7789,0.6075,0.4154,0.3659,0.2667,0.8687,0.2463,0.2662,0.102,0.6318,0.5,0,0.5455,0.8333,0.5455,0.1667,0.3333,0.0,0.9091,0.44,0.44,0.12,0.44,0.2308,0.4,0,0.3538,0.913,0.4722,0.5294,0.1111,1.0,0.8788,0.3,0.3273,0.0818,0.5909,0.7805,0.5826,0.0957,0.313,0.5535,0.64,0.4773,1966,0.1539,0.1175,0.033,0.2143,1950,0.1153,0.0237,0.0231,0.0027,0.7927,0.785,123.1905,4.7807,3.7899,93.4699,90.8936,Luck adjusted,-2.7298,-3.2295,Luck adjusted,-2.143,-2.5353,Luck adjusted,4066649,23,6-5,So,G,"Chicago, IL",6.9153,6.9153,-4.263,Adjusted from Def 3P%,-4.8854,5.4953,-3.3465,-3.8352,Adjusted from Def 3P%,High,Men
4395625_Men_2018_all,"Barrett, RJ",Atlantic Coast Conference,Duke,2018,"[[0, 0.7958, 0.1892, 0.0767], [1, 0.9039, 0.0655, 0.0266], [2, 0.8833, 0.1155, 0.0469], [3, 0.7659, 0.0274, 0.0111], [4, 0.7905, 0.0654, 0.0265], [5, 1.3415, 0.0503, 0.0204], [6, 1.1475, 0.0321, 0.013], [7, 1.1267, 0.0608, 0.0247], [8, 1.1706, 0.0084, 0.0034], [9, 0.7899, 0.0624, 0.0253], [10, 0.8728, 0.0243, 0.0099], [11, 0.8926, 0.0218, 0.0088], [12, 1.1802, 0.0104, 0.0042], [13, 1.1424, 0.0612, 0.0248], [14, 1.2774, 0.2054, 0.0833]]","[0, 0.1791, 0.6578, 0.1627, 0.0004]",668,WF,RjBarrett,"[0.0366, 0.3948, 0.4245, 0.1439, 0.0001]",23,130,22,11,32,11,7,22,13,3,4,8,449,226,267,182,111.3325,751.1015,97.1137,1304.52,0.5345,0,0.3053,0.8551,0.6404,0.3626,0.3791,0.2319,0.6652,0.3274,0.3956,0.2696,0.3348,0.5909,0,0.25,1.0,0.6486,0.1667,0.2857,0.0,0.7368,0.3393,0.6607,0.125,0.2143,0.1034,0.6911,0,0.325,0.8462,0.7835,0.5132,0.3462,0.2222,0.6977,0.5276,0.5951,0.1595,0.2454,0.3776,0.625,0.0813,0.2938,0.5089,0.5446,0.6411,2367,0.225,0.1584,0.0461,0.3163,2364,0.1712,0.0195,0.0144,0.0119,0.8826,0.8788,109.7635,5.8402,5.1543,97.7454,94.3325,Luck adjusted,-2.5458,-3.1852,Luck adjusted,-2.2372,-2.7992,Luck adjusted,4395625,05,6-7,Fr,F,"Toronto, ON",6.9016,6.9016,-4.077,Adjusted from Def 3P%,-4.8347,6.1091,-3.5829,-4.2487,Adjusted from Def 3P%,High,Men
4066218_Men_2018_all,"Williams, Grant",Southeastern Conference,Tennessee,2018,"[[0, 1.1021, 0.0505, 0.0184], [1, 1.0272, 0.0341, 0.0124], [2, 0.8535, 0.0113, 0.0041], [4, 0.9609, 0.037, 0.0135], [5, 1.0886, 0.0305, 0.0111], [6, 1.4157, 0.0233, 0.0085], [7, 1.0756, 0.0126, 0.0046], [8, 1.445, 0.098, 0.0357], [9, 1.0405, 0.3185, 0.1162], [10, 0.9901, 0.1629, 0.0594], [11, 0.9244, 0.0343, 0.0125], [12, 1.0322, 0.0414, 0.0151], [13, 1.3927, 0.0586, 0.0214], [14, 1.2943, 0.0871, 0.0318]]","[0, 0, 0.0276, 0.8021, 0.1702]",723,PF/C,GrWilliams,"[0.0006, 0.0098, 0.1585, 0.1741, 0.657]",4,86,5,5,31,5,8,70,6,10,42,11,361,44,152,209,110.27,557.05,98.5496,1151.5283,0.5956,0,0.3182,1.0,0.7105,0.6019,0.512,0.5047,0.8178,0.637,0.3753,0.516,0.1086,0.6875,0,0.0,0.0,0.6667,0.0,1.0,0.0,0.8148,0.7941,0.8824,0.0588,0.0588,0.0909,0.6,0,0.375,1.0,0.6,1.0,0.6,0.7778,0.8571,0.814,0.4651,0.3488,0.186,0.5833,0.2768,0.1875,0.5089,0.5827,0.6471,0.593,1975,0.1795,0.1472,0.0888,0.2676,1959,0.175,0.0386,0.0204,0.0535,0.7903,0.7823,127.5511,7.9269,6.2648,95.1396,95.7374,Luck adjusted,-2.8623,-2.7492,Luck adjusted,-2.2393,-2.1508,Luck adjusted,4066218,2,6-7,Jr,F,"Charlotte, NC",7.5635,7.5635,-3.2482,Adjusted from Def 3P%,-3.1936,5.9966,-2.5412,-2.4985,Adjusted from Def 3P%,High,Men
4065730_Men_2018_all,"Guy, Kyle",Atlantic Coast Conference,Virginia,2018,"[[0, 0.929, 0.1583, 0.0456], [1, 1.1139, 0.0882, 0.0254], [2, 1.1979, 0.3507, 0.1011], [3, 1.1083, 0.0645, 0.0186], [4, 0.7981, 0.1023, 0.0295], [5, 1.1174, 0.0329, 0.0095], [6, 1.4072, 0.022, 0.0063], [7, 1.1867, 0.0556, 0.016], [9, 0.6193, 0.02, 0.0058], [13, 1.1656, 0.0524, 0.0151], [14, 1.6011, 0.053, 0.0153]]","[0.003, 0.4599, 0.5372, 0, 0]",565,WG,KyGuy,"[0.0897, 0.7668, 0.1309, 0.0126, 0]",38,213,28,15,85,17,9,75,12,5,26,9,158,282,66,92,109.7781,450.0071,97.5033,1343.4033,0.4937,0,0.4255,0.8583,0.6667,0.2955,0.3696,0.4706,0.8293,0.1864,0.15,0.2091,0.6409,0.5882,0,0.3333,0.6667,0.8333,0.0,0.0,0.0,0.6923,0.5,0.4615,0.1923,0.3462,0.3077,0.6364,0,0.6154,1.0,0.7,1.0,0.0,0.0,0.9375,0.6667,0.4167,0.0417,0.5417,0.6,0.4615,0.1538,0.3846,0.5864,0.5577,0.7917,2012,0.1175,0.1178,0.0267,0.2164,2000,0.126,0.0136,0.013,0.002,0.8714,0.8684,120.9544,5.4547,4.753,98.5882,95.0702,Luck adjusted,-2.1263,-2.7948,Luck adjusted,-1.8465,-2.4271,Luck adjusted,4065730,05,6-2,Jr,G,"Indianapolis, IN",6.91,6.91,-3.2359,Adjusted from Def 3P%,-4.0073,6.1077,-2.8101,-3.4801,Adjusted from Def 3P%,High,Men
4066378_Men_2018_all,"Teske, Jon",Big Ten Conference,Michigan,2018,"[[0, 1.1972, 0.0157, 0.0032], [1, 1.015, 0.0194, 0.004], [2, 0.8374, 0.0425, 0.0087], [4, 0.6745, 0.0221, 0.0045], [5, 1.2892, 0.047, 0.0096], [6, 1.3788, 0.0518, 0.0106], [7, 1.1886, 0.003, 0], [8, 1.3773, 0.2112, 0.0434], [9, 0.8849, 0.1401, 0.0288], [10, 0.991, 0.086, 0.0177], [11, 0.9016, 0.1431, 0.0294], [12, 0.9216, 0.0096, 0.002], [13, 1.2158, 0.1071, 0.022], [14, 1.079, 0.1014, 0.0208]]","[0, 0, 0, 0, 1]",404,PF/C,JoTeske,"[0, 0.0007, 0.084, 0.5086, 0.4068]",17,2,114,27,4,114,10,1,62,24,3,75,186,77,131,55,109.7048,291.9274,97.2144,1028.2383,0.6129,0,0.2987,1.0,0.7252,0.8,0.3455,0.8947,0.5934,0.346,0.4981,0.2091,0.2928,0.6333,0,0.0,0.0,0.7619,0.0625,0.3333,0.3333,0.6667,0.4688,0.6563,0.2813,0.0625,0.0526,0.6316,0,0.3333,1.0,0.7143,1.0,0.4,1.0,0.3913,0.92,0.56,0.2,0.24,0.3571,0.4848,0.0303,0.4848,0.5646,0.5938,0.6,1643,0.0591,0.0582,0.0853,0.1677,1629,0.1954,0.0344,0.016,0.0743,0.6892,0.6807,120.0401,3.8589,2.6595,83.9497,80.9834,Luck adjusted,-4.8972,-5.4613,Luck adjusted,-3.3337,-3.7177,Luck adjusted,4066378,15,7-1,Jr,C,"Medina, OH",4.5239,4.5239,-5.2649,Adjusted from Def 3P%,-5.7447,3.1336,-3.584,-3.9106,Adjusted from Def 3P%,High,Men
4277964_Men_2018_all,"Tillman, Xavier",Big Ten Conference,Michigan St.,2018,"[[2, 0, 0.0016, 0], [3, 0.5957, 0.0106, 0.0028], [5, 1.0145, 0.0263, 0.0069], [7, 0.8474, 0.0062, 0.0016], [8, 1.213, 0.2391, 0.0627], [9, 0.7515, 0.1761, 0.0462], [10, 0.9312, 0.2089, 0.0548], [11, 0.7101, 0.0357, 0.0094], [12, 0.971, 0.0583, 0.0153], [13, 1.4545, 0.1132, 0.0297], [14, 1.4815, 0.124, 0.0325]]","[0, 0, 0, 0.2658, 0.7342]",566,C,XaTillman,"[0, 0.0001, 0.0173, 0.1072, 0.8754]",6,9,19,25,20,55,11,24,23,43,51,62,209,27,171,38,110.714,318.2702,96.1496,933.14,0.6507,0,0.2963,0.875,0.7251,0.7581,0.3158,0.75,0.7323,0.5381,0.7246,0.161,0.1144,0.6875,0,0.0,0.0,0.7333,0.0,0.0,0.0,0.8286,1.0938,0.9375,0.0625,0.0,0.1364,0.7429,0,0.5,1.0,0.75,0.9583,0.6667,1.0,0.7419,0.7561,0.7805,0.0732,0.1463,0.5172,0.2188,0.2344,0.5469,0.6271,0.6875,0.7439,1545,0.1317,0.1822,0.1324,0.2021,1576,0.2002,0.0489,0.0235,0.0751,0.5886,0.5981,123.2943,5.9467,3.5,88.0257,85.4145,Luck adjusted,-4.2748,-4.7668,Luck adjusted,-2.5568,-2.851,Luck adjusted,4277964,23,6-8,So,F,"Grand Rapids, MI",5.7616,5.7616,-4.0018,Adjusted from Def 3P%,-4.3139,3.4195,-2.3935,-2.5802,Adjusted from Def 3P%,High,Men
3907785_Men_2018_all,"Lawson, Dedric",Big 12 Conference,Kansas,2018,"[[0, 0.9476, 0.0591, 0.0197], [1, 1.0021, 0.0176, 0.0059], [2, 1.0499, 0.0224, 0.0075], [3, 0.9875, 0.0038, 0.0013], [4, 0.7101, 0.0266, 0.0089], [5, 1.0757, 0.0281, 0.0094], [6, 1.2815, 0.0247, 0.0083], [7, 1.2926, 0.0079, 0.0026], [8, 1.3107, 0.1071, 0.0358], [9, 0.8549, 0.3333, 0.1114], [10, 0.9938, 0.0732, 0.0245], [11, 1.1109, 0.0511, 0.0171], [12, 1.1247, 0.0203, 0.0068], [13, 1.4137, 0.1147, 0.0383], [14, 1.1536, 0.11, 0.0367]]","[0, 0, 0, 0.5122, 0.4878]",527,PF/C,DeLawson,"[0, 0.002, 0.2549, 0.6915, 0.0516]",9,39,16,6,9,13,12,50,18,13,19,19,419,88,211,208,112.7253,605.2012,96.9373,1180.1,0.5107,0,0.3864,0.9118,0.654,0.4348,0.3654,0.3158,0.8146,0.4043,0.4162,0.4103,0.1736,0.7213,0,0.5,1.0,0.75,0.0256,0.5556,0.0,0.7667,0.4615,0.8,0.1385,0.0615,0.0217,0.5789,0,0.3704,0.8,0.6364,0.6429,0.5,0.125,0.7222,0.2769,0.3385,0.2462,0.4154,0.3125,0.459,0.0328,0.4754,0.5227,0.7231,0.5692,2076,0.1105,0.1371,0.1067,0.2875,2072,0.2313,0.0321,0.0217,0.0365,0.8173,0.8164,114.505,6.1331,5.0127,94.0078,93.2692,Luck adjusted,-3.4637,-3.6004,Luck adjusted,-2.8277,-2.9393,Luck adjusted,3907785,1,6-9,Jr,F,"Memphis, TN",6.0005,6.0005,-3.566,Adjusted from Def 3P%,-3.855,4.9678,-2.9113,-3.1472,Adjusted from Def 3P%,High,Men
4066648_Men_2018_all,"Hachimura, Rui",West Coast Conference,Gonzaga,2018,"[[0, 1.0296, 0.2579, 0.0807], [1, 1.0369, 0.0536, 0.0168], [2, 1.1878, 0.0414, 0.0129], [3, 0, 0.0044, 0.0014], [4, 0.9026, 0.0929, 0.0291], [5, 1.1636, 0.0112, 0.0035], [6, 1.3534, 0.1362, 0.0426], [7, 1.2374, 0.028, 0.0088], [8, 1.3712, 0.0296, 0.0093], [9, 0.9813, 0.0881, 0.0276], [10, 1.0082, 0.0169, 0.0053], [11, 1.2777, 0.0062, 0.0019], [12, 1.2438, 0.0129, 0.004], [13, 1.3341, 0.0602, 0.0188], [14, 1.5013, 0.1604, 0.0502]]","[0, 0, 0.0169, 0.9345, 0.0486]",486,WF,RuHachimura,"[0.0007, 0.0608, 0.6288, 0.1586, 0.1511]",12,94,9,12,47,12,13,201,10,16,130,12,415,34,247,168,107.4544,544.7512,101.6534,1094.995,0.612,0,0.4412,1.0,0.7166,0.5819,0.4583,0.3506,0.7416,0.4655,0.5501,0.3742,0.0757,0.6333,0,0.0,0.0,0.7391,0.1765,0.2857,0.5,0.7619,0.7,0.7667,0.2333,0.0,0.1053,0.7727,0,0.6667,1.0,0.82,0.7317,0.625,0.3,0.7955,0.6111,0.6944,0.2222,0.0833,0.2,0.4,0.06,0.52,0.6158,0.6333,0.7917,1940,0.0794,0.1248,0.0581,0.2618,1916,0.1707,0.0256,0.0172,0.0239,0.7823,0.7713,125.316,6.4421,5.0394,93.222,90.6681,Luck adjusted,-2.7629,-3.2587,Luck adjusted,-2.1311,-2.5136,Luck adjusted,4066648,21,6-8,Jr,F,"Toyama, Japan",7.2994,7.2994,-2.253,Adjusted from Def 3P%,-2.8555,5.7241,-1.7378,-2.2026,Adjusted from Def 3P%,High,Men
4065805_Men_2018_all,"Howard, Markus",Big East Conference,Marquette,2018,"[[0, 0.8404, 0.2982, 0.1312], [1, 1.0652, 0.0972, 0.0428], [2, 1.1408, 0.0582, 0.0256], [3, 1.0853, 0.1394, 0.0613], [4, 0.8602, 0.0819, 0.036], [5, 0.8887, 0.0251, 0.011], [6, 1.6225, 0.0212, 0.0093], [7, 1.0609, 0.0562, 0.0247], [9, 0.7793, 0.007, 0.0031], [13, 0.99, 0.0362, 0.0159], [14, 1.2867, 0.1794, 0.0789]]","[1, 0, 0, 0, 0]",602,s-PG,MaHoward,"[0.7584, 0.2396, 0.0021, 0, 0]",32,441,10,16,272,9,14,268,7,11,157,6,294,287,126,168,107.6043,724.5357,100.205,1155.9833,0.432,0,0.3937,0.3805,0.4365,0.0545,0.4286,0.0278,0.8875,0.4131,0.2169,0.2892,0.494,0.4444,0,0.3182,1.0,0.6,0.0,0.25,0.0,0.8,0.1613,0.1613,0.129,0.7097,0.5455,0.5273,0,0.4638,0.4375,0.5758,0.0526,0.4545,0.0,0.8525,0.4919,0.2661,0.1774,0.5565,0.5246,0.3516,0.1641,0.4766,0.5103,0.4677,0.621,2035,0.2476,0.1808,0.0134,0.3561,2020,0.1022,0.0246,0.0178,0.0009,0.8469,0.8389,111.5911,6.4322,5.4472,100.9833,99.0706,Luck adjusted,-1.2835,-1.6543,Luck adjusted,-1.0767,-1.3878,Luck adjusted,4065805,00,5-11,Jr,G,"Chandler, AZ",7.5421,7.5421,-1.8841,Adjusted from Def 3P%,-2.1596,6.4157,-1.5805,-1.8116,Adjusted from Def 3P%,High,Men
4066248_Men_2018_all,"Harper, Jared",Southeastern Conference,Auburn,2018,"[[0, 0.8085, 0.2036, 0.076], [1, 1.1341, 0.202, 0.0755], [2, 1.2192, 0.0414, 0.0155], [3, 1.115, 0.1557, 0.0582], [4, 0.5871, 0.0265, 0.0099], [5, 1.2132, 0.0424, 0.0159], [6, 1.3144, 0.0218, 0.0081], [7, 1.0927, 0.1124, 0.042], [9, 0.6094, 0.0113, 0.0042], [13, 0.6205, 0.022, 0.0082], [14, 1.2373, 0.1608, 0.0601]]","[1, 0, 0, 0, 0]",698,PG,JaHarper,"[0.932, 0.0679, 0.0001, 0, 0]",56,628,13,30,535,10,15,516,4,12,397,2,179,254,127,52,110.7418,515.5183,98.3805,1283.2267,0.419,0,0.374,0.2421,0.4803,0.1311,0.2692,0.0,0.8208,0.3995,0.2933,0.1201,0.5866,0.25,0,0.1538,1.0,0.5,0.0,0.0,0.0,1.0,0.1176,0.1176,0.1176,0.7647,1.3333,0.5682,0,0.3929,0.2273,0.6667,0.1667,0.125,0.0,0.88,0.5,0.36,0.08,0.56,1.4043,0.3498,0.0359,0.6054,0.5023,0.2353,0.58,2179,0.3163,0.1765,0.0107,0.2501,2168,0.0799,0.0226,0.0189,0.0,0.8378,0.841,121.6856,6.2685,5.2515,107.5297,108.2368,Luck adjusted,-0.6051,-0.4719,Luck adjusted,-0.5088,-0.3968,Luck adjusted,4066248,1,6-0,Jr,G,"Mableton, GA",8.5662,8.5662,-0.85,Adjusted from Def 3P%,-0.6523,7.2547,-0.7148,-0.5486,Adjusted from Def 3P%,High,Men
